time_utc,lat,lon,wind_ms,wind_kt,pres_hpa
2022-09-21 06:00:00,17.4,133.0,0.0,0,1004
2022-09-21 12:00:00,17.6,133.7,0.0,0,1006
2022-09-21 18:00:00,17.7,134.2,0.0,0,1004
2022-09-22 00:00:00,17.7,134.4,0.0,0,1004
2022-09-22 06:00:00,17.9,134.4,0.0,0,1002
2022-09-22 12:00:00,18.0,134.1,0.0,0,1002
2022-09-22 18:00:00,17.9,133.5,18.003999999999998,35,1000
2022-09-23 00:00:00,17.6,132.4,18.003999999999998,35,1000
2022-09-23 06:00:00,17.6,131.3,20.576,40,998
2022-09-23 12:00:00,17.5,130.6,23.148,45,994
2022-09-23 18:00:00,16.9,129.2,25.72,50,992
2022-09-24 00:00:00,16.3,128.1,30.863999999999997,60,985
2022-09-24 06:00:00,15.8,126.9,36.007999999999996,70,975
2022-09-24 12:00:00,15.4,126.0,41.152,80,960
2022-09-24 18:00:00,15.2,124.7,46.296,90,950
2022-09-25 00:00:00,15.0,123.6,48.867999999999995,95,940
2022-09-25 06:00:00,15.0,122.5,48.867999999999995,95,940
2022-09-25 12:00:00,15.2,121.4,43.724,85,955
2022-09-25 18:00:00,15.5,119.7,38.58,75,970
2022-09-26 00:00:00,16.2,118.4,36.007999999999996,70,975
2022-09-26 06:00:00,15.9,116.9,33.436,65,980
2022-09-26 12:00:00,15.9,115.5,36.007999999999996,70,970
2022-09-26 18:00:00,15.8,113.5,38.58,75,965
2022-09-27 00:00:00,15.5,112.0,43.724,85,950
2022-09-27 06:00:00,15.6,111.2,43.724,85,950
2022-09-27 12:00:00,15.8,109.9,43.724,85,950
2022-09-27 18:00:00,15.8,108.8,38.58,75,965
2022-09-28 00:00:00,15.9,107.9,28.291999999999998,55,980
2022-09-28 06:00:00,15.9,107.3,23.148,45,990
2022-09-28 12:00:00,16.0,105.0,0.0,0,996
2022-09-28 18:00:00,16.0,104.9,0.0,0,996
2022-09-29 00:00:00,16.0,103.9,0.0,0,998
2022-09-29 06:00:00,16.0,103.3,0.0,0,1000
